"";"bzrID";"bzrNAME";"GESIx_2013";"GESIx_2022";"ESIx_2013";"ESIx_2022";"DI_2013";"DI_2022";"DII_2013";"DII_2022";"DIII_2013";"DIII_2022"
"38";40304;"Schloß Charlottenburg";-0,54535526;-0,26563275;-0,81415117;-0,48476377;-0,02316284;0,19290034;-1,5586426;-1,1521591;0,13785864;0,27325979
"39";40305;"Mierendorffplatz";-0,58550799;-0,014214665;-0,63189012;-0,31425351;-0,47784841;-0,045549165;-0,71835589;-0,56979007;-0,36957535;0,73282963
"40";40306;"Otto-Suhr-Allee";-0,40592968;-0,1515404;-0,74141389;-0,50310504;-0,11704373;0,18966439;-1,3168713;-1,184815;0,42242247;0,70395434
"41";40307;"Neue Kantstraße";0,62101513;0,66917038;0,32111412;0,49109086;0,48459601;0,65115297;0,10673769;0,28831664;1,1962132;0,96167147
"42";40308;"Kantstraße";0,12728079;0,48104236;-0,21542601;0,32710648;0,022669427;0,43028763;-0,4431901;0,19560665;0,89814079;0,76020628
"43";40309;"Kurfürstendamm";0,56142581;0,86201471;0,30232966;0,53264207;0,80439645;0,83039755;-0,27149266;0,18382235;1,0222007;1,4864038
"44";40310;"Halensee";0,73580074;0,8712132;0,469109;0,55677146;0,55660754;0,79530907;0,31762135;0,26763126;1,2151097;1,4625859
"45";40411;"Grunewald";0,8705613;0,84840208;0,72095871;0,77493042;1,0263569;1,0115308;0,30551416;0,47154087;1,0245819;0,8192032
"46";40412;"Schmargendorf";0,97593838;0,919958;0,93386692;0,91332769;1,0476584;1,056711;0,69682586;0,69639754;0,86872756;0,71351564
"47";40413;"Wiesbadener Straße";0,66878885;0,69105685;0,32384261;0,55923778;0,62414104;0,78615278;-0,037055735;0,28197983;1,3299199;0,84970838
"48";40514;"Düsseldorfer Straße";0,57608289;0,6602692;0,40225312;0,48647004;0,51560247;0,63595575;0,23141029;0,29502022;0,86409265;0,94502872
"49";40515;"Barstraße";0,32328728;0,15747157;0,11402832;0,1237931;0,25844744;0,37443131;-0,054377183;-0,14563762;0,74431223;0,17683487
"50";40516;"Volkspark Wilmersdorf";0,37510777;0,640477;0,24828336;0,50035191;0,58238268;0,7650792;-0,13938858;0,18822774;0,57271397;0,82697129
"51";40617;"Forst Grunewald";NA;NA;NA;NA;NA;NA;NA;NA;NA;NA
"52";50101;"Hakenfelde";-0,080180287;-0,3067905;0,013708469;-0,109544;0,075028613;0,046497546;-0,05350519;-0,263376;-0,29310018;-0,77143258
"53";50102;"Falkenhagener Feld";-1,0465882;-1,3023157;-1,0999985;-1,1491299;-1,1972715;-1,4175514;-0,86006731;-0,78481382;-0,69881427;-1,3749472
"54";50103;"Spandau Mitte";-1,2717013;-1,5181677;-1,148108;-1,2866918;-1,5029709;-1,4146318;-0,62700158;-1,0579655;-1,2781702;-1,7646468
"55";50204;"Brunsbütteler Damm";0,4362182;0,079689614;0,41784471;0,17876634;0,12645076;-0,16094579;0,67753083;0,51811922;0,41678309;-0,15057263
"56";50205;"Heerstraße Nord";-0,95122784;-1,5004008;-1,2811673;-1,6836964;-1,4969333;-2,0524151;-0,89223117;-1,1754116;0,046823423;-0,6417253
"57";50206;"Wilhelmstadt";-0,49686804;-0,60619062;-0,51250321;-0,54563272;-0,6931445;-0,62167954;-0,25613013;-0,42601496;-0,34334773;-0,61853838
"58";50307;"Haselhorst";-0,49006268;-0,87859482;-0,63762611;-0,77323425;-1,0539708;-0,94604605;-0,11394133;-0,53619421;-0,0030151375;-0,93392134
"59";50308;"Siemensstadt";-0,26222435;-0,28371185;-0,15076242;-0,50130552;-0,41065645;-0,60326213;0,14556631;-0,35809302;-0,45246726;0,35806823
"60";50409;"Gatow/Kladow";1,6379453;1,5153284;1,6101712;1,4540706;1,5608886;1,3540438;1,4637556;1,4495357;1,376588;1,3503847
"61";60101;"Schloßstraße";0,96106678;0,87161195;0,89830756;0,9671759;0,90690815;1,0630683;0,77805638;0,79553545;0,91526914;0,41675225
"62";60102;"Albrechtstraße";0,55580485;0,54950714;0,29551166;0,4621532;0,32968628;0,67485017;0,2224617;0,20689215;1,0609206;0,62604272
"63";60203;"Lankwitz";0,015125006;0,25034922;0,21273217;0,21342322;0,18660295;0,39822638;0,21434945;0,0056596226;-0,45687649;0,2661624
"64";60204;"Ostpreußendamm";0,5597952;0,63102567;0,64027256;0,5324316;0,46342;0,42737803;0,7500748;0,60180992;0,26973909;0,7605353
"65";60305;"Teltower Damm";1,1085786;0,96277201;0,96344846;0,86458957;1,0231601;0,97689486;0,78053296;0,68355608;1,2249006;0,98870182
"66";60306;"Drakestraße";1,1593148;1,0663903;1,0682373;1,0575428;1,014745;1,0349138;0,99332142;1,0022116;1,1462327;0,85501933
"67";60407;"Zehlendorf Südwest";1,4181192;1,3571107;1,3553021;1,1960227;1,4610121;1,2926763;1,0747921;1,0065349;1,2714905;1,4607341
"68";60408;"Zehlendorf Nord";1,6256794;1,4679936;1,4804155;1,3394575;1,546814;1,3747482;1,2264404;1,2029835;1,6369839;1,4704833
"69";70101;"Schöneberg Nord";-0,98597687;-0,76828992;-1,4284725;-1,0973686;-0,29216024;-0,39788079;-2,4659812;-1,7417601;0,17090856;0,16517749
"70";70202;"Schöneberg Süd";-0,20468573;-0,010096413;-0,45598641;-0,21753561;0,013687321;0,18436271;-0,90144378;-0,61855835;0,39550212;0,47793719
